Price History: SP50,,,,,,,,,
,,,,,,,,,
Date,Price,CVol,Change,% Change,"Total Return (Gross, Unhedged)","Cumulative Return % (Gross, Unhedged)",Open,High,Low
10/20/17,"2,575.21",2562577296.10442,13.10,0.51,"5,001.11",6.74,"2,567.56","2,575.44","2,567.56"
10/19/17,"2,562.10",2682572440.97519,0.84,0.03,"4,975.32",6.19,"2,553.39","2,562.36","2,547.92"
10/18/17,"2,561.26",2474161110.92949,1.91,0.07,"4,973.28",6.15,"2,562.87","2,564.11","2,559.67"
10/17/17,"2,559.36",2325844156.70585,1.72,0.07,"4,969.38",6.07,"2,557.17","2,559.71","2,554.69"
10/16/17,"2,557.64",2464970073.55499,4.47,0.18,"4,966.05",6.00,"2,555.57","2,559.47","2,552.64"
10/13/17,"2,553.17",2685451982.19299,2.24,0.09,"4,957.27",5.81,"2,555.66","2,557.65","2,552.09"
10/12/17,"2,550.93",2635606414.74723,-4.31,-0.17,"4,952.85",5.71,"2,552.88","2,555.33","2,548.31"
10/11/17,"2,555.24",2456938551.35918,4.60,0.18,"4,960.79",5.88,"2,550.62","2,555.24","2,547.95"
10/10/17,"2,550.64",2847474855.24558,5.91,0.23,"4,951.77",5.69,"2,549.99","2,555.23","2,544.86"
10/09/17,"2,544.73",2154721281.7688,-4.60,-0.18,"4,940.16",5.44,"2,551.39","2,551.82","2,541.60"
10/06/17,"2,549.33",2125285916.30173,-2.73,-0.11,"4,949.09",5.63,"2,547.44","2,549.41","2,543.79"
10/05/17,"2,552.07",2320673073.05526,14.32,0.56,"4,952.85",5.71,"2,540.86","2,552.51","2,540.02"
10/04/17,"2,537.74",2302890615.22293,3.16,0.12,"4,924.19",5.10,"2,533.48","2,540.53","2,531.80"
10/03/17,"2,534.58",2351980899.03259,5.46,0.22,"4,917.73",4.96,"2,530.34","2,535.13","2,528.85"
10/02/17,"2,529.12",2544735335.63423,9.76,0.39,"4,906.92",4.73,"2,521.20","2,529.23","2,520.40"
09/29/17,"2,519.36",2696437055.08232,9.30,0.37,"4,887.97",4.33,"2,509.96","2,519.44","2,507.99"
09/28/17,"2,510.06",2475965381.86072,3.02,0.12,"4,869.81",3.94,"2,503.41","2,510.81","2,502.93"
09/27/17,"2,507.04",2972600398.64159,10.20,0.41,"4,862.93",3.80,"2,503.30","2,511.75","2,495.91"
09/26/17,"2,496.84",3183401219.41566,0.18,0.01,"4,843.14",3.37,"2,501.04","2,503.51","2,495.12"
09/25/17,"2,496.66",3220912696.43021,-5.56,-0.22,"4,842.41",3.36,"2,499.39","2,502.54","2,488.03"
09/22/17,"2,502.22",2441970424.51,1.62,0.06,"4,853.20",3.59,"2,497.26","2,503.47","2,496.54"
09/21/17,"2,500.60",3036158829.32091,-7.63,-0.30,"4,849.95",3.52,"2,507.16","2,507.16","2,499.00"
09/20/17,"2,508.24",3108264448.75145,1.59,0.06,"4,864.61",3.83,"2,506.84","2,508.85","2,496.67"
09/19/17,"2,506.65",2944831036.58295,2.78,0.11,"4,861.52",3.77,"2,506.29","2,507.84","2,503.19"
09/18/17,"2,503.87",3808766735.77309,3.64,0.15,"4,856.08",3.65,"2,502.51","2,508.32","2,499.92"
09/15/17,"2,500.23",4592222719.66934,4.61,0.18,"4,848.84",3.49,"2,495.67","2,500.23","2,493.16"
09/14/17,"2,495.62",2572935785.11428,-2.75,-0.11,"4,839.29",3.29,"2,494.56","2,498.43","2,491.35"
09/13/17,"2,498.37",2631122425.84418,1.89,0.08,"4,843.04",3.37,"2,493.89","2,498.37","2,492.14"
09/12/17,"2,496.48",2588582977.10609,8.38,0.34,"4,839.31",3.29,"2,491.94","2,496.77","2,490.37"
09/11/17,"2,488.11",2715350510.96725,26.67,1.08,"4,822.80",2.94,"2,474.52","2,488.95","2,474.52"
09/08/17,"2,461.43",2634546149.04785,-3.67,-0.15,"4,771.02",1.83,"2,462.25","2,467.11","2,459.40"
09/07/17,"2,465.10",2482762944.70978,-0.44,-0.02,"4,777.93",1.98,"2,468.06","2,468.62","2,460.29"
09/06/17,"2,465.54",2525076364.99023,7.69,0.31,"4,777.69",1.98,"2,463.83","2,469.64","2,459.20"
09/05/17,"2,457.85",2965660979.105,-18.70,-0.76,"4,762.75",1.66,"2,470.35","2,471.97","2,446.55"
09/01/17,"2,476.55",2099098786.14616,4.90,0.20,"4,798.99",2.43,"2,474.42","2,480.38","2,473.85"
08/31/17,"2,471.65",2803816867.72537,14.06,0.57,"4,789.18",2.22,"2,462.65","2,475.01","2,462.65"
08/30/17,"2,457.59",2103958283.15353,11.29,0.46,"4,761.72",1.64,"2,446.06","2,460.31","2,443.77"
08/29/17,"2,446.30",2005252250.32806,2.06,0.08,"4,738.62",1.14,"2,431.94","2,449.19","2,428.20"
08/28/17,"2,444.24",2070722008.46003,1.19,0.05,"4,733.97",1.04,"2,447.35","2,449.12","2,439.03"
08/25/17,"2,443.05",2044916848.53554,4.08,0.17,"4,731.46",0.99,"2,444.72","2,453.96","2,442.22"
08/24/17,"2,438.97",2355902433.46214,-5.08,-0.21,"4,723.03",0.81,"2,447.91","2,450.39","2,436.19"
08/23/17,"2,444.04",2289130046.47827,-8.47,-0.35,"4,732.76",1.02,"2,444.88","2,448.91","2,441.42"
08/22/17,"2,452.51",2152365925.14895,24.14,0.99,"4,748.73",1.36,"2,433.75","2,454.77","2,433.67"
08/21/17,"2,428.37",2440020891.39938,2.82,0.12,"4,701.82",0.36,"2,425.50","2,430.58","2,417.35"
08/18/17,"2,425.55",2656241593.93691,-4.46,-0.18,"4,696.22",0.24,"2,427.64","2,440.27","2,420.69"
08/17/17,"2,430.01",2635823804.61693,-38.10,-1.54,"4,704.73",0.42,"2,462.95","2,465.02","2,430.01"
08/16/17,"2,468.11",2409430178.20644,3.50,0.14,"4,778.28",1.99,"2,468.63","2,474.93","2,463.86"
08/15/17,"2,464.61",2588402652.771,-1.23,-0.05,"4,770.15",1.82,"2,468.66","2,468.90","2,461.61"
08/14/17,"2,465.84",3008553642.1585,24.52,1.00,"4,771.43",1.84,"2,454.96","2,468.22","2,454.96"
08/11/17,"2,441.32",3297669666.11004,3.11,0.13,"4,723.73",0.82,"2,441.04","2,448.09","2,437.85"
08/10/17,"2,438.21",3642550525.08544,-35.81,-1.45,"4,717.40",0.69,"2,465.38","2,465.38","2,437.75"
08/09/17,"2,474.02",2496351665.34423,-0.90,-0.04,"4,784.94",2.13,"2,465.35","2,474.41","2,462.08"
08/08/17,"2,474.92",2769749048.23971,-5.99,-0.24,"4,786.12",2.16,"2,478.35","2,490.87","2,470.32"
08/07/17,"2,480.91",2468137606.91833,4.08,0.16,"4,797.13",2.39,"2,477.14","2,480.95","2,475.88"
08/04/17,"2,476.83",2628899135.42557,4.67,0.19,"4,789.11",2.22,"2,476.88","2,480.00","2,472.08"
08/03/17,"2,472.16",2678059984.39217,-5.41,-0.22,"4,779.99",2.03,"2,476.03","2,476.03","2,468.85"
08/02/17,"2,477.57",2998093720.34645,1.22,0.05,"4,789.54",2.23,"2,480.38","2,480.38","2,466.48"
08/01/17,"2,476.35",2684653979.29382,6.05,0.24,"4,786.27",2.16,"2,477.10","2,478.51","2,471.14"
07/31/17,"2,470.30",2971504819.05556,-1.80,-0.07,"4,774.56",1.91,"2,475.94","2,477.96","2,468.53"
07/28/17,"2,472.10",2796147431.94771,-3.32,-0.13,"4,778.02",1.98,"2,469.12","2,473.53","2,464.66"
07/27/17,"2,475.42",3947284762.12692,-2.41,-0.10,"4,784.26",2.12,"2,482.76","2,484.04","2,459.93"
07/26/17,"2,477.83",3209100154.24728,0.71,0.03,"4,788.41",2.20,"2,479.97","2,481.69","2,474.94"
07/25/17,"2,477.13",3305904091.14075,7.21,0.29,"4,787.04",2.18,"2,477.88","2,481.24","2,474.91"
07/24/17,"2,469.91",2830404030.69496,-2.62,-0.11,"4,773.10",1.88,"2,472.04","2,473.10","2,466.32"
07/21/17,"2,472.54",2830136382.37,-0.91,-0.04,"4,778.07",1.98,"2,467.40","2,472.54","2,465.06"
07/20/17,"2,473.45",3084077392.28821,-0.38,-0.02,"4,779.84",2.02,"2,475.56","2,477.62","2,468.43"
07/19/17,"2,473.83",2857058831.97974,13.22,0.54,"4,780.25",2.03,"2,463.85","2,473.83","2,463.85"
07/18/17,"2,460.61",2986426559.5398,1.47,0.06,"4,754.27",1.48,"2,455.88","2,460.92","2,450.34"
07/17/17,"2,459.14",2836456178.31802,-0.13,-0.01,"4,751.33",1.41,"2,459.50","2,462.82","2,457.16"
07/14/17,"2,459.27",2757399442.91687,11.44,0.47,"4,751.43",1.42,"2,449.16","2,463.54","2,446.69"
07/13/17,"2,447.83",3384335303.36666,4.58,0.19,"4,729.25",0.94,"2,444.99","2,449.32","2,441.69"
07/12/17,"2,443.25",3227399541.99791,17.72,0.73,"4,720.28",0.75,"2,435.75","2,445.76","2,435.75"
07/11/17,"2,425.53",2726913274.01733,-1.91,-0.08,"4,685.64",0.01,"2,427.35","2,429.30","2,412.79"
07/10/17,"2,427.43",2966961264.39285,2.26,0.09,"4,689.25",0.09,"2,424.51","2,432.00","2,422.27"
07/07/17,"2,425.18",2592718101.96304,15.43,0.64,"4,684.88",0.00,"2,413.52","2,426.92","2,413.52"
07/06/17,"2,409.75",3062733975.00229,-22.79,-0.94,"4,655.02",-0.64,"2,423.44","2,424.28","2,407.70"
07/05/17,"2,432.54",3147392830.1792,3.53,0.15,"4,697.34",0.26,"2,430.78","2,434.90","2,422.05"
07/03/17,"2,429.01",2065156118.62373,5.61,0.23,"4,689.61",0.10,"2,431.39","2,439.17","2,428.69"
06/30/17,"2,423.41",2930066048.74802,3.71,0.15,"4,678.36",-0.14,"2,429.20","2,432.71","2,421.65"
06/29/17,"2,419.70",3632009496.49048,-20.99,-0.86,"4,670.96",-0.30,"2,442.38","2,442.73","2,405.70"
06/28/17,"2,440.69",3157771669.0731,21.31,0.88,"4,711.33",0.56,"2,428.70","2,442.97","2,428.02"
06/27/17,"2,419.38",3246463801.27907,-19.69,-0.81,"4,669.27",-0.34,"2,436.34","2,440.15","2,419.38"
06/26/17,"2,439.07",3044221852.27203,0.77,0.03,"4,707.27",0.47,"2,443.32","2,450.42","2,437.03"
06/23/17,"2,438.30",4222357743.89648,3.80,0.16,"4,705.73",0.44,"2,434.65","2,441.40","2,431.11"
06/22/17,"2,434.50",2566841186.2831,-1.11,-0.05,"4,698.40",0.28,"2,437.40","2,441.62","2,433.27"
06/21/17,"2,435.61",2898441545.64476,-1.42,-0.06,"4,700.50",0.33,"2,439.31","2,442.23","2,430.74"
06/20/17,"2,437.03",3340159436.73134,-16.43,-0.67,"4,702.82",0.38,"2,450.66","2,450.66","2,436.60"
06/19/17,"2,453.46",2927244878.33786,20.31,0.83,"4,734.48",1.05,"2,442.55","2,453.82","2,441.79"
06/16/17,"2,433.15",4473004565.03296,0.69,0.03,"4,695.23",0.22,"2,431.24","2,433.15","2,422.88"
06/15/17,"2,432.46",3207004350.19493,-5.46,-0.22,"4,693.86",0.19,"2,424.14","2,433.95","2,418.53"
06/14/17,"2,437.92",3352148997.5071,-2.43,-0.10,"4,703.53",0.39,"2,443.75","2,443.75","2,428.34"
06/13/17,"2,440.35",3826201084.57375,10.96,0.45,"4,707.88",0.49,"2,434.15","2,441.49","2,431.28"
06/12/17,"2,429.39",4745227881.7482,-2.38,-0.10,"4,685.54",0.01,"2,425.88","2,430.38","2,419.97"
06/09/17,"2,431.77",6744368585.80779,-2.02,-0.08,"4,689.79",0.10,"2,436.39","2,446.20","2,415.70"
06/08/17,"2,433.79",3447698160.00938,0.65,0.03,"4,693.67",0.18,"2,434.27","2,439.27","2,427.94"
06/07/17,"2,433.14",2821840303.97606,3.81,0.16,"4,692.29",0.15,"2,432.03","2,435.28","2,424.75"
06/06/17,"2,429.33",2916385880.16129,-6.77,-0.28,"4,683.96",-0.02,"2,431.92","2,436.21","2,428.12"
06/05/17,"2,436.10",2703157166.43715,-2.97,-0.12,"4,697.00",0.25,"2,437.83","2,439.55","2,434.32"
06/02/17,"2,439.07",2653343130.09644,9.01,0.37,"4,702.56",0.37,"2,431.28","2,440.23","2,427.71"
06/01/17,"2,430.06",2699270953.53317,,,"4,685.11",,"2,415.65","2,430.06","2,413.54"
