,Date,Price
274,2018-07-03,2713.22
275,2018-07-05,2736.61
276,2018-07-06,2759.82
277,2018-07-09,2784.17
278,2018-07-10,2793.84
279,2018-07-11,2774.02
280,2018-07-12,2798.29
281,2018-07-13,2801.31
282,2018-07-16,2798.43
283,2018-07-17,2809.55
284,2018-07-18,2815.62
285,2018-07-19,2804.49
286,2018-07-20,2801.83
287,2018-07-23,2806.98
288,2018-07-24,2820.4
289,2018-07-25,2846.07
290,2018-07-26,2837.44
291,2018-07-27,2818.82
292,2018-07-30,2802.6
293,2018-07-31,2816.29
294,2018-08-01,2813.36
295,2018-08-02,2827.22
296,2018-08-03,2840.35
297,2018-08-06,2850.4
298,2018-08-07,2858.45
299,2018-08-08,2857.7
300,2018-08-09,2853.58
301,2018-08-10,2833.28
302,2018-08-13,2821.93
303,2018-08-14,2839.96
304,2018-08-15,2818.37
305,2018-08-16,2840.69
306,2018-08-17,2850.13
307,2018-08-20,2857.05
308,2018-08-21,2862.96
309,2018-08-22,2861.82
310,2018-08-23,2856.98
311,2018-08-24,2874.69
312,2018-08-27,2896.74
313,2018-08-28,2897.52
314,2018-08-29,2914.04
315,2018-08-30,2901.13
316,2018-08-31,2901.52
317,2018-09-04,2896.72
318,2018-09-05,2888.6
319,2018-09-06,2878.05
320,2018-09-07,2871.68
321,2018-09-10,2877.13
322,2018-09-11,2887.89
323,2018-09-12,2888.92
324,2018-09-13,2904.18
325,2018-09-14,2904.98
326,2018-09-17,2888.8
327,2018-09-18,2904.31
328,2018-09-19,2907.95
329,2018-09-20,2930.75
330,2018-09-21,2929.67
331,2018-09-24,2919.37
332,2018-09-25,2915.56
333,2018-09-26,2905.97
334,2018-09-27,2914.0
335,2018-09-28,2913.98
336,2018-10-01,2924.59
337,2018-10-02,2923.43
338,2018-10-03,2925.51
339,2018-10-04,2901.61
340,2018-10-05,2885.57
341,2018-10-08,2884.43
342,2018-10-09,2880.34
343,2018-10-10,2785.68
344,2018-10-11,2728.37
345,2018-10-12,2767.13
346,2018-10-15,2750.79
347,2018-10-16,2809.92
348,2018-10-17,2809.21
349,2018-10-18,2768.78
350,2018-10-19,2767.78
351,2018-10-22,2755.88
352,2018-10-23,2740.69
353,2018-10-24,2656.1
354,2018-10-25,2705.57
355,2018-10-26,2658.69
356,2018-10-29,2641.25
357,2018-10-30,2682.63
358,2018-10-31,2711.74
359,2018-11-01,2740.37
360,2018-11-02,2723.06
361,2018-11-05,2738.31
362,2018-11-06,2755.45
363,2018-11-07,2813.89
364,2018-11-08,2806.83
365,2018-11-09,2781.01
366,2018-11-12,2726.22
367,2018-11-13,2722.18
368,2018-11-14,2701.58
369,2018-11-15,2730.2
370,2018-11-16,2736.27
371,2018-11-19,2690.73
372,2018-11-20,2641.89
373,2018-11-21,2649.93
374,2018-11-23,2632.56
375,2018-11-26,2673.45
376,2018-11-27,2682.17
377,2018-11-28,2743.79
378,2018-11-29,2737.76
379,2018-11-30,2760.17
380,2018-12-03,2790.37
381,2018-12-04,2700.06
382,2018-12-06,2695.95
383,2018-12-07,2633.08
384,2018-12-10,2637.72
385,2018-12-11,2636.78
386,2018-12-12,2651.07
387,2018-12-13,2650.54
388,2018-12-14,2599.95
389,2018-12-17,2545.94
390,2018-12-18,2546.16
391,2018-12-19,2506.96
392,2018-12-20,2467.42
393,2018-12-21,2416.62
394,2018-12-24,2351.1
395,2018-12-26,2467.7
396,2018-12-27,2488.83
397,2018-12-28,2485.74
398,2018-12-31,2506.85
399,2019-01-02,2510.03
400,2019-01-03,2447.89
401,2019-01-04,2531.94
402,2019-01-07,2549.69
403,2019-01-08,2574.41
404,2019-01-09,2584.96
405,2019-01-10,2596.64
406,2019-01-11,2596.26
407,2019-01-14,2582.61
408,2019-01-15,2610.3
409,2019-01-16,2616.1
410,2019-01-17,2635.96
411,2019-01-18,2670.71
412,2019-01-22,2632.9
413,2019-01-23,2638.7
414,2019-01-24,2642.33
415,2019-01-25,2664.76
416,2019-01-28,2643.85
417,2019-01-29,2640.0
418,2019-01-30,2681.05
419,2019-01-31,2704.1
420,2019-02-01,2706.53
421,2019-02-04,2724.87
422,2019-02-05,2737.7
423,2019-02-06,2731.61
424,2019-02-07,2706.05
425,2019-02-08,2707.88
426,2019-02-11,2709.8
427,2019-02-12,2744.73
428,2019-02-13,2753.03
429,2019-02-14,2745.73
430,2019-02-15,2775.6
431,2019-02-19,2779.76
432,2019-02-20,2784.7
433,2019-02-21,2774.88
434,2019-02-22,2792.67
435,2019-02-25,2796.11
436,2019-02-26,2793.9
437,2019-02-27,2792.38
438,2019-02-28,2784.49
439,2019-03-01,2803.69
440,2019-03-04,2792.81
441,2019-03-05,2789.65
442,2019-03-06,2771.45
443,2019-03-07,2748.93
444,2019-03-08,2743.07
445,2019-03-11,2783.3
446,2019-03-12,2791.52
447,2019-03-13,2810.92
448,2019-03-14,2808.48
449,2019-03-15,2822.48
450,2019-03-18,2832.94
451,2019-03-19,2832.57
452,2019-03-20,2824.23
453,2019-03-21,2854.88
454,2019-03-22,2800.71
455,2019-03-25,2798.36
456,2019-03-26,2818.46
457,2019-03-27,2805.37
458,2019-03-28,2815.44
459,2019-03-29,2834.4
460,2019-04-01,2867.19
461,2019-04-02,2867.24
462,2019-04-03,2873.4
463,2019-04-04,2879.39
464,2019-04-05,2892.74
465,2019-04-08,2895.77
466,2019-04-09,2878.2
467,2019-04-10,2888.21
468,2019-04-11,2888.32
469,2019-04-12,2907.41
470,2019-04-15,2905.58
471,2019-04-16,2907.06
472,2019-04-17,2900.45
473,2019-04-18,2905.03
474,2019-04-22,2907.97
475,2019-04-23,2933.68
476,2019-04-24,2927.25
477,2019-04-25,2926.17
478,2019-04-26,2939.88
479,2019-04-29,2943.03
480,2019-04-30,2945.83
481,2019-05-01,2923.73
482,2019-05-02,2917.52
483,2019-05-03,2945.64
484,2019-05-06,2932.47
485,2019-05-07,2884.05
486,2019-05-08,2879.42
487,2019-05-09,2870.72
488,2019-05-10,2881.4
489,2019-05-13,2811.87
490,2019-05-14,2834.41
491,2019-05-15,2850.96
492,2019-05-16,2876.32
493,2019-05-17,2859.53
494,2019-05-20,2840.23
495,2019-05-21,2864.36
496,2019-05-22,2856.27
497,2019-05-23,2822.24
498,2019-05-24,2826.06
499,2019-05-28,2802.39
500,2019-05-29,2783.02
501,2019-05-30,2788.86
502,2019-05-31,2752.06
503,2019-06-03,2744.45
504,2019-06-04,2803.27
505,2019-06-05,2826.15
506,2019-06-06,2843.49
507,2019-06-07,2873.34
508,2019-06-10,2886.73
509,2019-06-11,2885.72
510,2019-06-12,2879.84
511,2019-06-13,2891.64
512,2019-06-14,2886.98
513,2019-06-17,2889.67
514,2019-06-18,2917.75
515,2019-06-19,2926.46
516,2019-06-20,2954.18
517,2019-06-21,2950.46
518,2019-06-24,2945.35
519,2019-06-25,2917.38
520,2019-06-26,2913.78
521,2019-06-27,2924.92
522,2019-06-28,2941.76
523,2019-07-01,2964.33
524,2019-07-02,2973.01
525,2019-07-03,2995.82
526,2019-07-05,2990.41
527,2019-07-08,2975.95
528,2019-07-09,2979.63
529,2019-07-10,2993.07
530,2019-07-11,2999.91
531,2019-07-12,3013.77
532,2019-07-15,3014.3
533,2019-07-16,3004.04
534,2019-07-17,2984.42
535,2019-07-18,2995.11
536,2019-07-19,2976.61
537,2019-07-22,2985.03
538,2019-07-23,3005.47
539,2019-07-24,3019.56
540,2019-07-25,3003.67
541,2019-07-26,3025.86
542,2019-07-29,3020.97
543,2019-07-30,3013.18
544,2019-07-31,2980.38
545,2019-08-01,2953.56
546,2019-08-02,2932.05
547,2019-08-05,2844.74
548,2019-08-06,2881.77
549,2019-08-07,2883.98
550,2019-08-08,2938.09
551,2019-08-09,2918.65
552,2019-08-12,2883.75
553,2019-08-13,2926.32
554,2019-08-14,2840.6
555,2019-08-15,2847.6
556,2019-08-16,2888.68
557,2019-08-19,2923.65
558,2019-08-20,2900.51
559,2019-08-21,2924.43
560,2019-08-22,2922.95
561,2019-08-23,2847.11
562,2019-08-26,2878.38
563,2019-08-27,2869.16
564,2019-08-28,2887.94
565,2019-08-29,2924.58
566,2019-08-30,2926.46
567,2019-09-03,2906.27
568,2019-09-04,2937.78
569,2019-09-05,2976.0
570,2019-09-06,2978.71
571,2019-09-09,2978.43
572,2019-09-10,2979.39
573,2019-09-11,3000.93
574,2019-09-12,3009.57
575,2019-09-13,3007.39
576,2019-09-16,2997.96
577,2019-09-17,3005.7
578,2019-09-18,3006.73
579,2019-09-19,3006.79
580,2019-09-20,2992.07
581,2019-09-23,2991.78
582,2019-09-24,2966.6
583,2019-09-25,2984.87
584,2019-09-26,2977.62
585,2019-09-27,2961.79
586,2019-09-30,2976.74
587,2019-10-01,2940.25
588,2019-10-02,2887.61
589,2019-10-03,2910.63
590,2019-10-04,2952.01
591,2019-10-07,2938.79
592,2019-10-08,2893.06
593,2019-10-09,2919.4
594,2019-10-10,2938.13
595,2019-10-11,2970.27
596,2019-10-14,2966.15
597,2019-10-15,2995.68
598,2019-10-16,2989.69
599,2019-10-17,2997.95
600,2019-10-18,2986.2
601,2019-10-21,3006.72
602,2019-10-22,2995.99
603,2019-10-23,3004.52
604,2019-10-24,3010.29
605,2019-10-25,3022.55
606,2019-10-28,3039.42
607,2019-10-29,3036.89
608,2019-10-30,3046.77
609,2019-10-31,3037.56
610,2019-11-01,3066.91
611,2019-11-04,3078.27
612,2019-11-05,3074.62
613,2019-11-06,3076.78
614,2019-11-07,3085.18
615,2019-11-08,3093.08
616,2019-11-11,3087.01
617,2019-11-12,3091.84
618,2019-11-13,3094.04
619,2019-11-14,3096.63
620,2019-11-15,3120.46
621,2019-11-18,3122.03
622,2019-11-19,3120.18
623,2019-11-20,3108.46
624,2019-11-21,3103.54
625,2019-11-22,3110.29
626,2019-11-25,3133.64
627,2019-11-26,3140.52
628,2019-11-27,3153.63
629,2019-11-29,3140.98
630,2019-12-02,3113.87
631,2019-12-03,3093.2
632,2019-12-04,3112.76
633,2019-12-05,3117.43
634,2019-12-06,3145.91
635,2019-12-09,3135.96
636,2019-12-10,3132.52
637,2019-12-11,3141.63
638,2019-12-12,3168.57
639,2019-12-13,3168.8
640,2019-12-16,3191.45
641,2019-12-17,3192.52
642,2019-12-18,3191.14
643,2019-12-19,3205.37
644,2019-12-20,3221.22
645,2019-12-23,3224.01
646,2019-12-24,3223.38
647,2019-12-26,3239.91
648,2019-12-27,3240.02
649,2019-12-30,3221.29
650,2019-12-31,3230.78
651,2020-01-02,3257.85
652,2020-01-03,3234.85
653,2020-01-06,3246.28
654,2020-01-07,3237.18
655,2020-01-08,3253.05
656,2020-01-09,3274.7
657,2020-01-10,3265.35
658,2020-01-13,3288.13
659,2020-01-14,3283.15
660,2020-01-15,3289.29
661,2020-01-16,3316.81
662,2020-01-17,3329.62
663,2020-01-21,3320.79
664,2020-01-22,3321.75
665,2020-01-23,3325.54
666,2020-01-24,3295.47
667,2020-01-27,3243.63
668,2020-01-28,3276.24
669,2020-01-29,3273.4
670,2020-01-30,3283.66
671,2020-01-31,3225.52
672,2020-02-03,3248.92
673,2020-02-04,3297.59
674,2020-02-05,3334.69
675,2020-02-06,3345.78
676,2020-02-07,3327.71
677,2020-02-10,3352.09
678,2020-02-11,3357.75
679,2020-02-12,3379.45
680,2020-02-13,3373.94
681,2020-02-14,3380.16
682,2020-02-18,3370.29
683,2020-02-19,3386.15
684,2020-02-20,3373.23
685,2020-02-21,3337.75
686,2020-02-24,3225.89
687,2020-02-25,3128.21
688,2020-02-26,3116.39
689,2020-02-27,2978.76
690,2020-02-28,2954.22
691,2020-03-02,3090.23
692,2020-03-03,3003.37
693,2020-03-04,3130.12
694,2020-03-05,3023.94
695,2020-03-06,2972.37
696,2020-03-09,2746.56
697,2020-03-10,2882.23
698,2020-03-11,2741.38
699,2020-03-12,2480.64
700,2020-03-13,2711.02
701,2020-03-16,2386.13
702,2020-03-17,2529.19
703,2020-03-18,2398.1
704,2020-03-19,2409.39
705,2020-03-20,2304.92
706,2020-03-23,2237.4
707,2020-03-24,2447.33
708,2020-03-25,2475.56
709,2020-03-26,2630.07
710,2020-03-27,2541.47
711,2020-03-30,2626.65
712,2020-03-31,2584.59
713,2020-04-01,2470.5
714,2020-04-02,2526.9
715,2020-04-03,2488.65
716,2020-04-06,2663.68
717,2020-04-07,2659.41
718,2020-04-08,2749.98
719,2020-04-09,2789.82
720,2020-04-13,2761.63
721,2020-04-14,2846.06
722,2020-04-15,2783.36
723,2020-04-16,2799.55
724,2020-04-17,2874.56
725,2020-04-20,2823.16
726,2020-04-21,2736.56
727,2020-04-22,2799.31
728,2020-04-23,2797.8
729,2020-04-24,2836.74
730,2020-04-27,2878.48
731,2020-04-28,2863.39
732,2020-04-29,2939.51
733,2020-04-30,2912.43
734,2020-05-01,2830.71
735,2020-05-04,2842.74
736,2020-05-05,2868.44
737,2020-05-06,2848.42
738,2020-05-07,2881.19
739,2020-05-08,2929.8
740,2020-05-11,2930.32
741,2020-05-12,2870.12
742,2020-05-13,2820.0
743,2020-05-14,2852.5
744,2020-05-15,2863.7
745,2020-05-18,2953.91
746,2020-05-19,2922.94
747,2020-05-20,2971.61
748,2020-05-21,2948.51
749,2020-05-22,2955.45
750,2020-05-26,2991.77
751,2020-05-27,3036.13
752,2020-05-28,3029.73
753,2020-05-29,3044.31
754,2020-06-01,3055.73
755,2020-06-02,3080.82
756,2020-06-03,3122.87
757,2020-06-04,3112.35
758,2020-06-05,3193.93
759,2020-06-08,3232.39
760,2020-06-09,3207.18
761,2020-06-10,3190.14
762,2020-06-11,3002.1
763,2020-06-12,3041.31
764,2020-06-15,3066.59
765,2020-06-16,3124.74
766,2020-06-17,3113.49
767,2020-06-18,3115.34
768,2020-06-19,3097.74
769,2020-06-22,3117.86
770,2020-06-23,3131.29
771,2020-06-24,3050.33
772,2020-06-25,3083.76
773,2020-06-26,3009.05
774,2020-06-29,3053.24
775,2020-06-30,3100.29
776,2020-07-01,3115.86
777,2020-07-02,3130.01
778,2020-07-06,3179.72
779,2020-07-07,3145.32
780,2020-07-08,3169.94
781,2020-07-09,3152.05
782,2020-07-10,3185.04
783,2020-07-13,3155.22
784,2020-07-14,3197.52
785,2020-07-15,3226.56
786,2020-07-16,3215.57
787,2020-07-17,3224.73
788,2020-07-20,3251.84
789,2020-07-21,3257.3
790,2020-07-22,3276.02
791,2020-07-23,3235.66
792,2020-07-24,3215.63
793,2020-07-27,3239.41
794,2020-07-28,3218.44
795,2020-07-29,3258.44
796,2020-07-30,3246.22
797,2020-07-31,3271.12
798,2020-08-03,3294.61
799,2020-08-04,3306.51
800,2020-08-05,3327.77
801,2020-08-06,3349.16
802,2020-08-07,3351.28
803,2020-08-10,3360.47
804,2020-08-11,3333.69
805,2020-08-12,3380.35
806,2020-08-13,3373.43
807,2020-08-14,3372.85
808,2020-08-17,3381.99
809,2020-08-18,3389.78
810,2020-08-19,3374.85
811,2020-08-20,3385.51
812,2020-08-21,3397.16
813,2020-08-24,3431.28
814,2020-08-25,3443.62
815,2020-08-26,3478.73
816,2020-08-27,3484.55
817,2020-08-28,3508.01
818,2020-08-31,3500.31
819,2020-09-01,3526.65
820,2020-09-02,3580.84
821,2020-09-03,3455.06
822,2020-09-04,3426.96
823,2020-09-08,3331.84
824,2020-09-09,3398.96
825,2020-09-10,3339.19
826,2020-09-11,3340.97
827,2020-09-14,3383.54
828,2020-09-15,3401.2
829,2020-09-16,3385.49
830,2020-09-17,3357.01
831,2020-09-18,3319.47
832,2020-09-21,3281.06
833,2020-09-22,3315.57
834,2020-09-23,3236.92
835,2020-09-24,3246.59
836,2020-09-25,3298.46
837,2020-09-28,3351.6
838,2020-09-29,3335.47
839,2020-09-30,3363.0
840,2020-10-01,3380.8
841,2020-10-02,3348.44
842,2020-10-05,3408.63
843,2020-10-06,3360.95
844,2020-10-07,3419.45
845,2020-10-08,3446.83
846,2020-10-09,3477.13
847,2020-10-12,3534.22
848,2020-10-13,3511.93
849,2020-10-14,3488.67
850,2020-10-15,3483.34
851,2020-10-16,3483.81
852,2020-10-19,3426.92
853,2020-10-20,3443.12
854,2020-10-21,3435.56
855,2020-10-22,3453.49
856,2020-10-23,3465.39
857,2020-10-26,3400.97
858,2020-10-27,3390.68
859,2020-10-28,3271.03
860,2020-10-29,3310.11
861,2020-10-30,3269.96
862,2020-11-02,3310.24
863,2020-11-03,3369.16
864,2020-11-04,3443.44
865,2020-11-05,3510.45
866,2020-11-06,3509.44
867,2020-11-09,3550.5
868,2020-11-10,3545.53
869,2020-11-11,3572.66
870,2020-11-12,3537.01
871,2020-11-13,3585.15
872,2020-11-16,3626.91
873,2020-11-17,3609.53
874,2020-11-18,3567.79
875,2020-11-19,3581.87
876,2020-11-20,3557.54
877,2020-11-23,3577.59
878,2020-11-24,3635.41
879,2020-11-25,3629.65
880,2020-11-27,3638.35
881,2020-11-30,3621.63
882,2020-12-01,3662.45
883,2020-12-02,3669.01
884,2020-12-03,3666.72
885,2020-12-04,3699.12
886,2020-12-07,3691.96
887,2020-12-08,3702.25
888,2020-12-09,3672.82
889,2020-12-10,3668.1
890,2020-12-11,3663.46
891,2020-12-14,3647.49
892,2020-12-15,3694.62
893,2020-12-16,3701.17
894,2020-12-17,3722.48
895,2020-12-18,3709.41
896,2020-12-21,3694.92
897,2020-12-22,3687.26
898,2020-12-23,3690.01
899,2020-12-24,3703.06
900,2020-12-28,3735.36
901,2020-12-29,3727.04
902,2020-12-30,3732.04
903,2020-12-31,3756.07
904,2021-01-04,3700.65
905,2021-01-05,3726.86
906,2021-01-06,3748.14
907,2021-01-07,3803.79
908,2021-01-08,3824.68
909,2021-01-11,3799.61
910,2021-01-12,3801.19
911,2021-01-13,3809.84
912,2021-01-14,3795.54
913,2021-01-15,3768.25
914,2021-01-19,3798.91
915,2021-01-20,3851.85
916,2021-01-21,3853.07
917,2021-01-22,3841.47
918,2021-01-25,3855.36
919,2021-01-26,3849.62
920,2021-01-27,3750.77
921,2021-01-28,3787.38
922,2021-01-29,3714.24
923,2021-02-01,3773.86
924,2021-02-02,3826.31
925,2021-02-03,3830.17
926,2021-02-04,3871.74
927,2021-02-05,3886.83
928,2021-02-08,3915.59
929,2021-02-09,3911.23
